order_id,order_date,order_time,customer_id,customer_name,region,city,salesperson,category,product_name,sku_id,quantity,unit_price,discount_pct,return_flag,payment_method,channel
ORD-20260629-0285,2026-06-29,18:34:09,CUST0072,Ravi Sharma,West,Ahmedabad,Anjali Rao,Snacks,Maggi Noodles 70g,SNK-006,63,14,15,No,Card,In-Store
ORD-20260629-0451,2026-06-29,10:09:35,CUST0203,Suresh Rao,West,Mumbai,Karan Patel,Snacks,Good Day Biscuits 200g,SNK-004,16,45,0,No,Credit,Distributor
ORD-20260629-0337,2026-06-29,09:28:04,CUST0136,Vikram Nair,East,Patna,Sneha Iyer,Personal Care,Nivea Lotion 200ml,PC-004,23,220,10,No,UPI,Distributor
ORD-20260629-0425,2026-06-29,13:21:07,CUST0066,Geeta Sharma,East,Patna,Priya Sharma,Dairy,Britannia Cheese Slice,DAI-005,30,115,0,No,Credit,Distributor
ORD-20260629-0194,2026-06-29,13:57:59,CUST0019,Rahul Mishra,South,Bangalore,Divya Nair,Dairy,Nestle Munch Milkshake,DAI-004,13,30,5,No,Card,In-Store
ORD-20260629-0063,2026-06-29,18:16:34,CUST0254,Vikram Sharma,South,Hyderabad,Divya Nair,Household,Vim Dishwash Gel 500ml,HH-002,18,90,0,No,Card,Distributor
ORD-20260629-0028,2026-06-29,15:12:52,CUST0189,Neha Kumar,South,Bangalore,Vikram Singh,Household,Lizol Floor Cleaner 1L,HH-003,14,175,0,No,Card,Online
ORD-20260629-0102,2026-06-29,20:10:54,CUST0137,Kavya Nair,East,Patna,Nikhil Joshi,Household,Scotch Brite Scrub Pad,HH-006,27,45,5,No,Credit,Distributor
ORD-20260629-0492,2026-06-29,13:53:33,CUST0237,Raj Pillai,South,Hyderabad,Sneha Iyer,Snacks,Good Day Biscuits 200g,SNK-004,24,45,0,No,UPI,In-Store
ORD-20260629-0477,2026-06-29,11:58:36,CUST0285,Ramesh Nair,West,Mumbai,Divya Nair,Personal Care,Dove Soap 100g,PC-001,22,55,5,No,Credit,Distributor
ORD-20260629-0182,2026-06-29,18:07:40,CUST0126,Priya Sharma,West,Surat,Karan Patel,Beverages,Red Bull 250ml,BEV-003,38,125,15,No,Cash,In-Store
ORD-20260629-0363,2026-06-29,18:13:25,CUST0011,Ramesh Pillai,East,Bhubaneswar,Anjali Rao,Beverages,Nescafe Classic 50g,BEV-005,30,210,5,No,Credit,Distributor
ORD-20260629-0148,2026-06-29,17:30:55,CUST0123,Ravi Joshi,South,Bangalore,Priya Sharma,Household,Lizol Floor Cleaner 1L,HH-003,4,175,5,No,Card,Online
ORD-20260629-0026,2026-06-29,13:49:20,CUST0017,Vikram Nair,South,Chennai,Priya Sharma,Dairy,Amul Full Cream Milk 1L,DAI-001,16,68,15,No,UPI,Online
ORD-20260629-0130,2026-06-29,12:28:54,CUST0203,Suresh Rao,North,Delhi,Vikram Singh,Household,Ariel Detergent 1kg,HH-001,17,220,0,No,Cash,Distributor
ORD-20260629-0253,2026-06-29,11:36:29,CUST0254,Vikram Sharma,South,Kochi,Anjali Rao,Beverages,Glucon-D 500g,BEV-006,33,165,15,No,UPI,In-Store
ORD-20260629-0008,2026-06-29,10:26:16,CUST0107,Usha Shah,West,Pune,Anjali Rao,Snacks,Hide & Seek Cookies 150g,SNK-003,80,55,5,No,UPI,In-Store
ORD-20260629-0250,2026-06-29,14:56:04,CUST0227,Neha Pillai,Central,Nagpur,Divya Nair,Snacks,Good Day Biscuits 200g,SNK-004,9,45,0,No,Card,Online
ORD-20260629-0041,2026-06-29,09:35:02,CUST0098,Ajay Joshi,East,Kolkata,Anjali Rao,Beverages,Maaza Mango 600ml,BEV-002,7,40,10,No,UPI,In-Store
ORD-20260629-0400,2026-06-29,20:10:59,CUST0253,Meena Nair,East,Guwahati,Vikram Singh,Personal Care,Gillette Mach3 Razor,PC-006,16,350,0,No,Cash,In-Store
ORD-20260629-0438,2026-06-29,13:25:46,CUST0054,Usha Pillai,South,Hyderabad,Anjali Rao,Dairy,Amul Butter 500g,DAI-002,12,260,15,No,Card,In-Store
ORD-20260629-0385,2026-06-29,18:13:51,CUST0228,Rahul Das,East,Kolkata,Vikram Singh,Snacks,Hide & Seek Cookies 150g,SNK-003,30,55,0,No,UPI,In-Store
ORD-20260629-0112,2026-06-29,09:49:22,CUST0087,Rahul Kumar,Central,Raipur,Vikram Singh,Personal Care,Dove Soap 100g,PC-001,16,55,5,No,Cash,In-Store
ORD-20260629-0383,2026-06-29,19:33:00,CUST0019,Rahul Mishra,Central,Indore,Arjun Mehta,Personal Care,Colgate Toothpaste 200g,PC-003,11,110,15,No,Cash,In-Store
ORD-20260629-0463,2026-06-29,13:17:50,CUST0028,Ramesh Singh,East,Bhubaneswar,Anjali Rao,Household,Good Knight Refill,HH-005,7,75,0,No,Card,Online
ORD-20260629-0378,2026-06-29,09:32:19,CUST0193,,South,Bangalore,Divya Nair,Household,Vim Dishwash Gel 500ml,HH-002,17,90,10,No,UPI,In-Store
ORD-20260629-0439,2026-06-29,11:08:20,CUST0175,Ramesh Das,West,Surat,Nikhil Joshi,Beverages,Glucon-D 500g,BEV-006,8,165,5,No,Credit,Distributor
ORD-20260629-0096,2026-06-29,11:47:59,CUST0041,Sanjay Mehta,East,Bhubaneswar,Priya Sharma,Beverages,Glucon-D 500g,BEV-006,9,165,10,No,UPI,Online
ORD-20260629-0426,2026-06-29,20:43:05,CUST0001,Sunil Patel,South,Kochi,Anjali Rao,Snacks,Hide & Seek Cookies 150g,SNK-003,67,55,5,No,Card,In-Store
ORD-20260629-0255,2026-06-29,12:38:17,CUST0082,Sunita Gupta,West,Ahmedabad,Sneha Iyer,Household,Vim Dishwash Gel 500ml,HH-002,6,90,0,No,Card,Online
ORD-20260629-0523,2026-06-29,18:38:15,CUST0282,Vikram Kumar,South,Hyderabad,Sneha Iyer,Dairy,Amul Full Cream Milk 1L,DAI-001,44,68,5,No,Cash,In-Store
ORD-20260629-0147,2026-06-29,11:50:43,CUST0110,Sunita Patel,North,Lucknow,Arjun Mehta,Snacks,Hide & Seek Cookies 150g,SNK-003,68,55,0,No,UPI,In-Store
ORD-20260629-0394,2026-06-29,12:09:27,CUST0183,Deepa Reddy,North,Delhi,Arjun Mehta,Snacks,Hide & Seek Cookies 150g,SNK-003,54,55,0,No,Card,Online
ORD-20260629-0489,2026-06-29,14:04:48,CUST0294,Neha Iyer,North,Lucknow,Vikram Singh,Household,Ariel Detergent 1kg,HH-001,23,220,5,No,Credit,Distributor
ORD-20260629-0318,2026-06-29,18:03:38,CUST0055,Ajay Mishra,North,Jaipur,Vikram Singh,Personal Care,Colgate Toothpaste 200g,PC-003,6,110,5,Yes,Cash,In-Store
ORD-20260629-0002,2026-06-29,18:42:38,CUST0019,Rahul Mishra,South,Bangalore,Sneha Iyer,Dairy,Mother Dairy Curd 400g,DAI-003,23,50,5,No,UPI,In-Store
ORD-20260629-0469,2026-06-29,17:23:16,CUST0072,Ravi Sharma,Central,Raipur,Sneha Iyer,Dairy,Amul Ice Cream 750ml,DAI-006,21,195,15,No,Card,Online
ORD-20260629-0228,2026-06-29,20:46:08,CUST0225,Ramesh Pillai,East,Bhubaneswar,Karan Patel,Personal Care,Nivea Lotion 200ml,PC-004,7,220,0,Yes,Credit,In-Store
ORD-20260629-0346,2026-06-29,14:47:49,CUST0268,Vikram Reddy,North,Delhi,Anjali Rao,Personal Care,Nivea Lotion 200ml,PC-004,17,220,0,No,UPI,In-Store
ORD-20260629-0353,2026-06-29,17:01:43,CUST0172,Usha Kumar,North,Delhi,Nikhil Joshi,Beverages,Tropicana Orange 1L,BEV-001,16,95,5,No,Credit,Distributor
ORD-20260629-0165,2026-06-29,13:25:35,CUST0056,Neha Joshi,South,Chennai,Priya Sharma,Personal Care,Nivea Lotion 200ml,PC-004,7,220,0,No,Card,Online
ORD-20260629-0166,2026-06-29,11:27:54,CUST0255,Priya Joshi,West,Surat,Arjun Mehta,Household,Harpic Toilet Cleaner,HH-004,19,140,5,No,UPI,Distributor
ORD-20260629-0296,2026-06-29,10:21:00,CUST0209,Meena Joshi,South,Kochi,Divya Nair,Dairy,Amul Ice Cream 750ml,DAI-006,55,195,0,No,Credit,Distributor
ORD-20260629-0167,2026-06-29,15:14:17,CUST0238,Shweta Mishra,Central,Nagpur,Vikram Singh,Dairy,Amul Full Cream Milk 1L,DAI-001,8,68,0,No,Credit,Online
ORD-20260629-0144,2026-06-29,15:40:08,CUST0006,Ajay Pillai,South,Chennai,Rohan Das,Personal Care,Nivea Lotion 200ml,PC-004,11,220,0,No,UPI,In-Store
ORD-20260629-0290,2026-06-29,15:22:38,CUST0178,Suresh Verma,East,Kolkata,Pooja Verma,Household,Vim Dishwash Gel 500ml,HH-002,5,90,0,No,Cash,In-Store
ORD-20260629-0401,2026-06-29,18:12:58,CUST0153,Shweta Das,South,Bangalore,Divya Nair,Snacks,Maggi Noodles 70g,SNK-006,36,14,5,No,UPI,Online
ORD-20260629-0164,2026-06-29,15:16:23,CUST0298,Suresh Pillai,North,Chandigarh,Arjun Mehta,Snacks,Lays Classic 90g,SNK-001,30,30,0,No,Cash,In-Store
ORD-20260629-0155,2026-06-29,18:32:53,CUST0068,Shweta Mehta,East,Bhubaneswar,Priya Sharma,Snacks,Maggi Noodles 70g,SNK-006,50,14,0,No,Cash,Distributor
ORD-20260629-0084,2026-06-29,09:50:05,CUST0298,Suresh Pillai,North,Chandigarh,Priya Sharma,Snacks,Kurkure Masala 90g,SNK-002,31,30,5,No,Cash,In-Store
ORD-20260629-0421,2026-06-29,18:50:25,CUST0027,Ajay Nair,South,Bangalore,Arjun Mehta,Dairy,Amul Butter 500g,DAI-002,10,260,0,No,Cash,In-Store
ORD-20260629-0515,2026-06-29,10:01:48,CUST0034,Deepa Gupta,West,Surat,Nikhil Joshi,Beverages,Glucon-D 500g,BEV-006,16,165,5,No,Cash,In-Store
ORD-20260629-0080,2026-06-29,10:10:57,CUST0100,Amit Singh,North,Lucknow,Nikhil Joshi,Household,Scotch Brite Scrub Pad,HH-006,2,45,0,No,Cash,Online
ORD-20260629-0050,2026-06-29,13:32:08,CUST0210,Amit Nair,West,Surat,Arjun Mehta,Household,Harpic Toilet Cleaner,HH-004,10,140,5,No,Card,In-Store
ORD-20260629-0396,2026-06-29,20:18:31,CUST0199,Deepa Pillai,West,Ahmedabad,Divya Nair,Snacks,Kurkure Masala 90g,SNK-002,69,30,5,No,Credit,Distributor
ORD-20260629-0403,2026-06-29,12:40:01,CUST0177,Manoj Shah,East,Bhubaneswar,Divya Nair,Personal Care,Gillette Mach3 Razor,PC-006,16,350,5,No,UPI,Online
ORD-20260629-0075,2026-06-29,13:24:11,CUST0105,Suresh Shah,South,Bangalore,Rohan Das,Household,Scotch Brite Scrub Pad,HH-006,6,45,0,No,Credit,Distributor
ORD-20260629-0035,2026-06-29,16:36:03,CUST0105,Suresh Shah,North,Jaipur,Sneha Iyer,Personal Care,Gillette Mach3 Razor,PC-006,11,350,0,No,Credit,Distributor
ORD-20260629-0149,2026-06-29,11:26:49,CUST0238,Shweta Mishra,North,Jaipur,Anjali Rao,Personal Care,Dove Soap 100g,PC-001,15,55,15,No,Credit,Distributor
ORD-20260629-0391,2026-06-29,17:50:28,CUST0161,Manoj Mehta,West,Surat,Arjun Mehta,Dairy,Nestle Munch Milkshake,DAI-004,81,30,15,No,Card,Distributor
ORD-20260629-0242,2026-06-29,14:32:16,CUST0114,Usha Verma,West,Surat,Arjun Mehta,Dairy,Amul Full Cream Milk 1L,DAI-001,39,68,0,No,UPI,Distributor
ORD-20260629-0208,2026-06-29,11:42:11,CUST0244,Ajay Das,North,Jaipur,Karan Patel,Beverages,Maaza Mango 600ml,BEV-002,43,40,0,No,Card,Distributor
ORD-20260629-0225,2026-06-29,12:14:59,CUST0043,Shweta Das,South,Chennai,Anjali Rao,Dairy,Mother Dairy Curd 400g,DAI-003,6,50,0,No,UPI,Online
ORD-20260629-0334,2026-06-29,13:52:34,CUST0056,Neha Joshi,South,Hyderabad,Arjun Mehta,Household,Scotch Brite Scrub Pad,HH-006,19,45,0,No,Card,Online
ORD-20260629-0245,2026-06-29,17:05:11,CUST0207,Raj Reddy,West,Surat,Arjun Mehta,Dairy,Amul Full Cream Milk 1L,DAI-001,60,68,5,No,Card,Distributor
ORD-20260629-0092,2026-06-29,17:45:27,CUST0065,Manoj Mehta,West,Ahmedabad,Priya Sharma,Personal Care,Nivea Lotion 200ml,PC-004,14,220,0,No,UPI,Online
ORD-20260629-0249,2026-06-29,10:20:55,CUST0078,Vikram Gupta,East,Guwahati,Rohan Das,Dairy,Nestle Munch Milkshake,DAI-004,21,30,0,No,Cash,Distributor
ORD-20260629-0083,2026-06-29,11:38:21,CUST0270,Ravi Pillai,Central,Nagpur,Anjali Rao,Personal Care,Head & Shoulders 340ml,PC-002,13,290,15,No,Credit,Distributor
ORD-20260629-0497,2026-06-29,10:58:28,CUST0209,Meena Joshi,North,Lucknow,Pooja Verma,Beverages,Maaza Mango 600ml,BEV-002,12,40,0,Yes,UPI,Online
ORD-20260629-0510,2026-06-29,16:57:59,CUST0110,Sunita Patel,North,Jaipur,Nikhil Joshi,Beverages,Tropicana Orange 1L,BEV-001,22,95,15,No,UPI,Online
ORD-20260629-0176,2026-06-29,14:31:26,CUST0231,Usha Iyer,West,Pune,Arjun Mehta,Household,Lizol Floor Cleaner 1L,HH-003,11,175,0,No,Credit,Distributor
ORD-20260629-0344,2026-06-29,18:52:03,CUST0298,Suresh Pillai,North,Jaipur,Divya Nair,Beverages,Nescafe Classic 50g,BEV-005,16,210,0,No,UPI,Online
ORD-20260629-0415,2026-06-29,14:10:45,CUST0011,Ramesh Pillai,South,Kochi,Vikram Singh,Household,Good Knight Refill,HH-005,19,75,5,No,UPI,In-Store
ORD-20260629-0184,2026-06-29,15:04:21,CUST0092,Ramesh Iyer,East,Guwahati,Rohan Das,Personal Care,Nivea Lotion 200ml,PC-004,21,220,15,No,Card,Distributor
ORD-20260629-0545,2026-06-29,20:13:54,CUST0268,Vikram Reddy,North,Delhi,Vikram Singh,Beverages,Red Bull 250ml,BEV-003,20,125,0,No,Credit,Distributor
ORD-20260629-0239,2026-06-29,10:49:14,CUST0195,Shweta Patel,Central,Raipur,Arjun Mehta,Snacks,Kurkure Masala 90g,SNK-002,50,30,0,No,Cash,In-Store
ORD-20260629-0293,2026-06-29,14:24:33,CUST0283,Meena Mishra,,Ahmedabad,Karan Patel,Personal Care,Dettol Hand Wash 250ml,PC-005,5,95,5,No,UPI,Online
ORD-20260629-0546,2026-06-29,18:26:54,CUST0038,Rekha Rao,North,Jaipur,Vikram Singh,Beverages,Bisleri Water 1L,BEV-004,20,20,5,No,Credit,Distributor
ORD-20260629-0413,2026-06-29,13:22:54,CUST0218,Ajay Mehta,East,Patna,Anjali Rao,Dairy,Amul Ice Cream 750ml,DAI-006,14,195,0,No,UPI,Online
ORD-20260629-0460,2026-06-29,17:44:56,CUST0289,Pooja Verma,West,Surat,Divya Nair,Snacks,Haldirams Bhujia 400g,SNK-005,69,130,0,No,Cash,In-Store
ORD-20260629-0259,2026-06-29,20:37:00,CUST0113,Pooja Reddy,West,Pune,Arjun Mehta,Snacks,Lays Classic 90g,SNK-001,18,30,5,No,Card,In-Store
ORD-20260629-0037,2026-06-29,13:55:33,CUST0285,Ramesh Nair,North,Delhi,Anjali Rao,Snacks,Good Day Biscuits 200g,SNK-004,20,45,5,No,UPI,Online
ORD-20260629-0122,2026-06-29,11:09:22,CUST0162,Vikram Gupta,West,Ahmedabad,Anjali Rao,Beverages,Glucon-D 500g,BEV-006,36,165,0,No,Cash,In-Store
ORD-20260629-0040,2026-06-29,10:49:48,CUST0090,Suresh Pillai,North,Lucknow,Sneha Iyer,Personal Care,Dettol Hand Wash 250ml,PC-005,6,95,10,No,Cash,In-Store
ORD-20260629-0484,2026-06-29,19:35:15,CUST0210,Amit Nair,South,Hyderabad,Divya Nair,Snacks,Lays Classic 90g,SNK-001,113,30,5,No,Credit,Distributor
ORD-20260629-0183,2026-06-29,16:57:55,CUST0092,Ramesh Iyer,South,Chennai,Sneha Iyer,Household,Scotch Brite Scrub Pad,HH-006,7,45,15,No,Cash,In-Store
ORD-20260629-0172,2026-06-29,17:17:27,CUST0109,Pooja Nair,South,Kochi,Sneha Iyer,Beverages,Red Bull 250ml,BEV-003,20,125,0,No,UPI,In-Store
ORD-20260629-0018,2026-06-29,10:29:41,CUST0090,Suresh Pillai,South,Hyderabad,Nikhil Joshi,Beverages,Red Bull 250ml,BEV-003,19,125,0,No,UPI,Online
ORD-20260629-0034,2026-06-29,17:53:32,CUST0166,Geeta Iyer,South,Kochi,Vikram Singh,Beverages,Red Bull 250ml,BEV-003,5,125,0,No,UPI,In-Store
